18,"Bernal D. , Carlos",http://ucuenca.edu.ec/resource/author/carlos-bernal-d,http://ucuenca.edu.ec/wkhuska/publication/do-gnl-para-suprimento-brasileiro,ANÁLISE DO GNL PARA O SUPRIMENTO ENERGÉTICO BRASILEIRO,
19,"Espinoza Juela, María de Lourdes",http://ucuenca.edu.ec/resource/author/maría-de-lourdes-espinoza-juela,http://ucuenca.edu.ec/wkhuska/publication/age-at-menopause-in-latin,"Age at menopause in Latin America""@e",
20,"Abad, Cristina",http://ucuenca.edu.ec/resource/author/cristina-abad,http://ucuenca.edu.ec/wkhuska/publication/design-and-evaluation-of-eviction-policies-for-supporting-priorities-and-deadlines-in-mapreduce,"Natjam: Design and evaluation of eviction policies for supporting priorities and deadlines in mapreduce clusters""@e",
21,"Abad S. , Diego",http://ucuenca.edu.ec/resource/author/diego-abad-s,http://ucuenca.edu.ec/wkhuska/publication/behaviour-of-ilmenite-as-oxygen-carrier-in-chemical-looping-combustion,Behaviour of Ilmenite as Oxygen Carrier in Chemical-Looping Combustion,
22,"Ordóñez Cuesta, María del Carmen",http://ucuenca.edu.ec/resource/author/maría-del-carmen-ordóñez-cuesta,http://ucuenca.edu.ec/wkhuska/publication/virulence-phenotypes-of-worldwide-collection-of-puccinia-triticina-from-durum,Virulence phenotypes of a worldwide collection of Puccinia triicina from durum wheat,
23,"Dercon, Gerd",http://ucuenca.edu.ec/resource/author/gerd-dercon,http://ucuenca.edu.ec/wkhuska/publication/spatial-variability-in-soil-properties-on-slow-forming-terraces-in-the-andes-region-of-ecuador,"Spatial variability in soil properties on slow-forming terraces in the Andes region of Ecuador""@e",
24,"Bravo Zhunio, Xavier Humberto",http://ucuenca.edu.ec/resource/author/xavier-humberto-bravo-zhunio,http://ucuenca.edu.ec/wkhuska/publication/territorial-distribution-proposal-for-the-biofuel-consumption-target-in-the-transportation-sector-in-accordance-with-the-eu-energy-policy-for,"Territorial distribution proposal for the biofuel consumption target in the transportation sector in accordance with the EU energy policy for 2020""@e",
25,"Bernal D. , Carlos",http://ucuenca.edu.ec/resource/author/carlos-bernal-d,http://ucuenca.edu.ec/wkhuska/publication/sugarcane-metabolites-produced-in-co--rich-temporary-immersion-bioreactors-induce-tomato-solanum-lycopersicum-resistance-against-bacterial-wilt-ralstonia-solanacearum,Sugarcane metabolites produced in CO 2 -rich temporary immersion bioreactors (TIBs) induce tomato ( Solanum lycopersicum ) resistance against bacterial wilt ( Ralstonia solanacearum ),
26,"Aguilar Romero, Gino",http://ucuenca.edu.ec/resource/author/gino-aguilar-romero,http://ucuenca.edu.ec/wkhuska/publication/performance-of-cms-muon-reconstruction-in-cosmic-ray-events,Performance of CMS muon reconstruction in cosmic-ray events,
27,"Abad S. , Diego",http://ucuenca.edu.ec/resource/author/diego-abad-s,http://ucuenca.edu.ec/wkhuska/publication/reduction-kinetics-of-and-fe-based-oxygen-carriers-using-syngas-for-chemical-looping-combustion,"Reduction kinetics of Cu, Ni, and Fe-based oxygen carriers using syngas (CO + Hâ) for chemical-looping combustion",
28,"Ruiz Vázquez, Jorge Fernando",http://ucuenca.edu.ec/resource/author/jorge-fernando-ruiz-vázquez,http://ucuenca.edu.ec/wkhuska/publication/effect-of-free-range-rearing-and-and-copper-supplementation-on-fatty-acid-profiles-and-susceptibility-to-lipid-oxidation-of-fresh-meat-from-iberian-pigs,Effect of free-range rearing and α-tocopherol and copper supplementation on fatty acid profiles and susceptibility to lipid oxidation of fresh meat from Iberian pigs,
29,"Torres Arteaga, Christian Alejandro",http://ucuenca.edu.ec/resource/author/christian-alejandro-torres-arteaga,http://ucuenca.edu.ec/wkhuska/publication/rapidity-and-transverse-momentum-dependence-of-inclusive-production-in-pp-collisions-at-tev,Rapidity and transverse momentum dependence of inclusive J/$\psi$ production in pp collisions at $\sqrt{s}$ = 7 TeV,
30,"Espinoza Juela, María de Lourdes",http://ucuenca.edu.ec/resource/author/maría-de-lourdes-espinoza-juela,http://ucuenca.edu.ec/wkhuska/publication/menopausal-symptoms-appear-before-the-menopause-and-persist-years-detailed-analysis-of-multinational-study,"Menopausal symptoms appear before the menopause and persist 5 years beyond: A detailed analysis of a multinational study""@e",
31,"Torres Torres, Tatiana Lisseth",http://ucuenca.edu.ec/resource/author/tatiana-lisseth-torres-torres,http://ucuenca.edu.ec/wkhuska/publication/triplex-real-time-polymerase-chain-reaction-optimization-for-azf-y-chromosome-microdeletion,"Triplex real-time polymerase chain reaction optimization for azf y-chromosome microdeletion analysis""@e",
32,"Bernal D. , Carlos",http://ucuenca.edu.ec/resource/author/carlos-bernal-d,http://ucuenca.edu.ec/wkhuska/publication/clinical-evolution-of-tropical-spastic-paraparesis,Clinical Evolution of Tropical Spastic Paraparesis,
