name,authorUri,publicationUri,title,keywords
Diego Israel Maldonado Martínez,http://ucuenca.edu.ec/resource/author/diego-israel-maldonado-martínez,http://ucuenca.edu.ec/wkhuska/publication/nonparametric-test-based-structural-similarity-measure-for-digital,A nonparametric-test-based structural similarity measure for digital images.,"Digital Image, Digital Image Watermarking, Human Visual Perception, Hypothesis Test, Image Processing, Image Similarity, Mean Square Error, Natural Images, Nonlinear Filter, Nonparametric Test, Peak Signal To Noise Ratio, Similarity Measure, Spatial Information, Structural Similarity"
Juan Melchor Segarra Rojas,http://ucuenca.edu.ec/resource/author/juan-melchor-segarra-rojas,http://ucuenca.edu.ec/wkhuska/publication/improving-the-wcet-computation-in-the-presence-of-lockable-instruction-cache-in-multitasking-real-time,Improving the WCET computation in the presence of a lockable instruction cache in multitasking real-time systems.,"Cache Replacement, Instruction Cache, Real Time Systems, Spatial Locality"
DOMINGUEZ GAVILANES EDWIN XAVIER,http://ucuenca.edu.ec/resource/author/edwin-xavier-dominguez-gavilanes,http://ucuenca.edu.ec/wkhuska/publication/modeling-of-end-use-energy-consumption-in-the-residential-review-of-modeling-techniques,Modeling of end-use energy consumption in the residential sector: A review of modeling techniques,"Bottom Up, Energy Consumption, Energy Efficient, Energy Price, Energy Value, Greenhouse Gas Emissions, Gross Domestic Product, Modeling Technique, Renewable Energy, Simulation Technique, Statistical Method, Top Down"
"Arroyo León, Marcelo Patricio",http://ucuenca.edu.ec/resource/author/marcelo-patricio-arroyo-león,http://ucuenca.edu.ec/wkhuska/publication/towards-dynamically-communicating-abstract-machines-in-the,Towards Dynamically Communicating Abstract Machines in the B Method.,"Abstract Machine, B Method, Software Architecture"
"Carvallo Vega, Juan Pablo",http://ucuenca.edu.ec/resource/author/juan-pablo-carvallo-vega,http://ucuenca.edu.ec/wkhuska/publication/tool-for-building-software-quality,QM: A Tool for Building Software Quality Models.,Software Quality
Gabriela Lizzet Gallegos Delgado,http://ucuenca.edu.ec/resource/author/gabriela-lizzet-gallegos-delgado,http://ucuenca.edu.ec/wkhuska/publication/indoor-slam-based-on-composite-sensor-mixing-laser-scans-and-omnidirectional,Indoor SLAM based on composite sensor mixing laser scans and omnidirectional images.,"3d representation, Laser Range Finder, Laser Scanning, Mobile Robot, Omnidirectional Camera, Omnidirectional Image, Simultaneous Localization and Mapping"
Carla Lorena González Aguilar,http://ucuenca.edu.ec/resource/author/carla-lorena-gonzález-aguilar,http://ucuenca.edu.ec/wkhuska/publication/picard-discretization-of-nonlinear-symbolic-or-numeric,Picard Discretization of Nonlinear Systems: Symbolic or Numeric Implementation?,"Case Study, Control System, Linear Control System, Nonlinear Control System, Nonlinear Dynamics, Nonlinear System, Numerical Integration"
"Benavides Pérez, David Andrés",http://ucuenca.edu.ec/resource/author/david-andrés-benavides-pérez,http://ucuenca.edu.ec/wkhuska/publication/first-international-workshop-on-analysis-of-software-product-lines,First International Workshop on Analysis of Software Product Lines (ASPL'08).,"Artificial Intelligent, Decision Models, Sat Solver, Software Product Line"
HERNANDEZ ALVAREZ MYRIAM BEATRIZ,http://ucuenca.edu.ec/resource/author/myriam-beatriz-hernandez-alvarez,http://ucuenca.edu.ec/wkhuska/publication/sentiment-analysis-of-citations-using-sentence-structure-based-features,Sentiment analysis of citations using sentence structure-based features,Sentiment Analysis
Nelson Piedra,http://ucuenca.edu.ec/resource/author/nelson-piedra,http://ucuenca.edu.ec/wkhuska/publication/finding-oers-with-social-semantic,"Finding OERs with social-semantic search""@e","information seekers, knowledge domains, OCW, OER, ontology, Open Educational Resources, searching architecture, semantic metadata technology, Semantic Web technology, social annotations, social-semantic Web paradigm, social Web"
"Casanova, Andrea",http://ucuenca.edu.ec/resource/author/andrea-casanova,http://ucuenca.edu.ec/wkhuska/publication/the-role-of-mammogram,The Role of Entropy: Mammogram Analysis.,"Linear Transformation, Order Disorder"
"Guardiola, Jorge",http://ucuenca.edu.ec/resource/author/jorge-guardiola,http://ucuenca.edu.ec/wkhuska/publication/logistic-evolutionary-product-unit-neural-innovation-capacity-of-poor-guatemalan,Logistic evolutionary product-unit neural networks: Innovation capacity of poor Guatemalan households.,"Evolutionary Algorithm, Logistic Regression, Logistic Regression Model, Neural Network"
