name,authorUri,publicationUri,title,keywords
"Carpio, Lilia",http://ucuenca.edu.ec/resource/author/lilia-carpio,http://ucuenca.edu.ec/wkhuska/publication/evolution-of-official-social-networks-of-the-universidad-tecnica-particular-de-loja,"Evolution of official social networks of the Universidad Tecnica Particular de Loja - Ecuador""@e","Facebook, Internet, Organizations, social networks, Twitter, University"
"Astudillo Granda, Hernán",http://ucuenca.edu.ec/resource/author/hernán-astudillo-granda,http://ucuenca.edu.ec/wkhuska/publication/automatic-generation-of-hierarchical-taxonomies-from-free-text-using-linguistic,Automatic Generation of Hierarchical Taxonomies from Free Text Using Linguistic Algorithms.,Automatic Generation
"Acosta López, Oscar Alejandro",http://ucuenca.edu.ec/resource/author/oscar-alejandro-acosta-lópez,http://ucuenca.edu.ec/wkhuska/publication/improved-cortical-thickness-measurement-from-mr-images-using-partial-volume,Improved cortical thickness measurement from MR images using partial volume estimation.,"Boundary Condition, Computational Efficiency, Cortical Thickness, Gray Matter, Mr Imaging, Neurodegenerative Disease, Partial Volume, Ray Casting"
José Luis Neira Izquierdo,http://ucuenca.edu.ec/resource/author/josé-luis-neira-izquierdo,http://ucuenca.edu.ec/wkhuska/publication/localization-of-avalanche-victims-using-robocentric,Localization of avalanche victims using robocentric SLAM.,"3d measurement, Inertial Sensor, Magnetic Field, Particle Filter, Snow Avalanche"
"Castro Riera, Carlos",http://ucuenca.edu.ec/resource/author/carlos-castro-riera,http://ucuenca.edu.ec/wkhuska/publication/lanczos-lovelock-and-gravity-from-clifford-space,"Lanczos-Lovelock and f(R) Gravity from Clifford Space Geometry""@e","Clifford algebras, Extended theories of gravity, f(R) gravity, Lanczos-Lovelock gravity"
"Torres, Paulina",http://ucuenca.edu.ec/resource/author/paulina-torres,http://ucuenca.edu.ec/wkhuska/publication/antioxidant-capacity-of-human-blood-plasma-and-human-simultaneous-evaluation-of-the-orac-index-and-ascorbic-acid-concentration-employing-pyrogallol-red-as,"Antioxidant capacity of human blood plasma and human urine: Simultaneous evaluation of the ORAC index and ascorbic acid concentration employing pyrogallol red as probe""@e","Ascorbic acid, Human blood plasma, Human urine, ORAC index, Pyrogallol red"
"Figueroa García, Juan",http://ucuenca.edu.ec/resource/author/juan-figueroa-garcía,http://ucuenca.edu.ec/wkhuska/publication/fuzzy-logic-approach-to-test-statistical-hypothesis-on,A Fuzzy Logic Approach to Test Statistical Hypothesis on Means.,"Fuzzy Logic, Rule Based"
"Espinoza, Mauricio",http://ucuenca.edu.ec/resource/author/mauricio-espinoza,http://ucuenca.edu.ec/wkhuska/publication/labeltranslator-tool-to-automatically-localize-an,LabelTranslator - A Tool to Automatically Localize an Ontology.,Natural Language
Juan Melchor Segarra Rojas,http://ucuenca.edu.ec/resource/author/juan-melchor-segarra-rojas,http://ucuenca.edu.ec/wkhuska/publication/analysis-and-placement-of-storage-capacity-in-large-distributed-video,Analysis and placement of storage capacity in large distributed video servers.,"Distributed Storage, Hierarchical System, Quality of Service, Storage Capacity, Time Delay, Uniform Distribution, Video On Demand, Video Server, Video Streaming"
"Espinoza, Maria",http://ucuenca.edu.ec/resource/author/maria-espinoza,http://ucuenca.edu.ec/wkhuska/publication/personal-and-professional-use-of-menopausal-hormone-therapy-among-multinational-study,"Personal and professional use of menopausal hormone therapy among gynecologists: A multinational study (REDLINC VII)""@e","Gynecologists, Menopausal hormone therapy, Personal use, Prescribing behavior, Professionals"
"Ballari, Daniela Elisabet",http://ucuenca.edu.ec/resource/author/daniela-elisabet-ballari,http://ucuenca.edu.ec/wkhuska/publication/mobility-constraint-model-to-infer-sensor-behaviour-in-forest-fire-risk,A mobility constraint model to infer sensor behaviour in forest fire risk monitoring.,"bayesian network, Expert Knowledge, Fire Risk, Forest Fire, Mobile Sensors, Wireless Sensor Network"
Daniela Fernanda Rodríguez Mesías,http://ucuenca.edu.ec/resource/author/daniela-fernanda-rodríguez-mesías,http://ucuenca.edu.ec/wkhuska/publication/robust-bandwidth-selection-in-semiparametric-partly-linear-regression-monte-carlo-study-and-influential,Robust bandwidth selection in semiparametric partly linear regression models: Monte Carlo study and influential analysis.,"Asymptotic Properties, Bandwidth Selection, Cross Validation, Linear Model, Linear Regression Model, Monte Carlo Study, Robust Estimator"
"Franco Bonoso, Leonardo Bladimir",http://ucuenca.edu.ec/resource/author/leonardo-bladimir-franco-bonoso,http://ucuenca.edu.ec/wkhuska/publication/new-constructive-approach-for-creating-all-linearly-separable,A New Constructive Approach for Creating All Linearly Separable (Threshold) Functions.,Numerical Simulation
"Carreño Barrera, Juan Carlos",http://ucuenca.edu.ec/resource/author/juan-carlos-carreño-barrera,http://ucuenca.edu.ec/wkhuska/publication/acquisition-and-analysis-of-angles-between-the-hip-and-knee-during-the-sit-up-process-through-the-kinect,"Acquisition and analysis of angles between the hip and knee during the sit-up process through the kinect sensor""@e","angle, get up, hip, joint, kinect, knee, labview, sit down"
"Sarmiento C. , Alvaro",http://ucuenca.edu.ec/resource/author/alvaro-sarmiento-c,http://ucuenca.edu.ec/wkhuska/publication/programming-parallel-applications-with-lamgac-in-lan-wlan,Programming Parallel Applications with LAMGAC in a LAN-WLAN Environment.,"Generic Algorithm, Grid Computing, Local Area Network, Parallel Applications, Parallel Programs, Parallel Virtual Machine, Web Interface, Wireless Communication, Wireless Local Area Network"
"Correa Vega, Santiago Xaxier",http://ucuenca.edu.ec/resource/author/santiago-xaxier-correa-vega,http://ucuenca.edu.ec/wkhuska/publication/passage-retrieval-in-legal,Passage retrieval in legal texts.,Passage Retrieval
"Vásquez Solano, Paúl",http://ucuenca.edu.ec/resource/author/paúl-vásquez-solano,http://ucuenca.edu.ec/wkhuska/publication/methodology-for-estimating-the-cost-of-energy-not-supplied--ecuadorian,"Methodology for Estimating the Cost of Energy not Supplied -Ecuadorian Case-""@e","CENS, direct methodology, economic losses, interruption costs, planning, productive losses, reliability, VoLL"
"Flores Pozo, Samuel Marcelino",http://ucuenca.edu.ec/resource/author/samuel-marcelino-flores-pozo,http://ucuenca.edu.ec/wkhuska/publication/hinge-relating-protein-sequence-to-sites-of-structural,Hinge Atlas: relating protein sequence to sites of structural flexibility.,"Active Site, Evolutionary Conservation, protein-ligand interaction, Protein Sequence, Secondary Structure, structure-function relationship"
"Jara, Hernán",http://ucuenca.edu.ec/resource/author/hernán-jara,http://ucuenca.edu.ec/wkhuska/publication/whole-brain-quantitative-t2-mri-across-multiple-scanners-with-dual-echo-applications-to-and-normal,"Whole brain quantitative T2 MRI across multiple scanners with dual echo FSE: Applications to AD, MCI, and normal aging.","Fast Spin Echo, General Electric, Human Subjects, Mild Cognitive Impairment, Normal Aging, Spectrum, Spin Echo"
"Terán Lanas, Juan Pablo",http://ucuenca.edu.ec/resource/author/juan-pablo-terán-lanas,http://ucuenca.edu.ec/wkhuska/publication/cultural-algorithms-based-learning-model-for-multi-agent,Cultural Algorithms-based learning model for multi-agent systems.,"Agent Architecture, agent-based system, Agent Systems, Agile Manufacturing, Cerebellar Model Articulation Controller, Dynamic Change, Learning Algorithm, Learning Model, Manufacturing System, Multi Agent System, Satisfiability, System Architecture"
"Ponce Chacón, Enrique Fabricio",http://ucuenca.edu.ec/resource/author/enrique-fabricio-ponce-chacón,http://ucuenca.edu.ec/wkhuska/publication/local-and-global-bifurcations-in-simple-takagi-sugeno-fuzzy,Local and global bifurcations in simple Takagi-Sugeno fuzzy systems.,"Bifurcation Analysis, Bifurcation Diagram, Bifurcation Theory, Degeneration, Fuzzy System, Global Bifurcation, takagi sugeno"
"Lozano Sarango, Manuel Antonio",http://ucuenca.edu.ec/resource/author/manuel-antonio-lozano-sarango,http://ucuenca.edu.ec/wkhuska/publication/three-stage-method-for-designing-genetic-fuzzy-systems-by-learning-from,A Three-Stage Method for Designing Genetic Fuzzy Systems by Learning from Examples.,"Fuzzy Logic Controller, Fuzzy Model, Fuzzy System, Genetic Fuzzy System, Learning From Examples, Three Dimensional"
"Cabrera, Elizabeth",http://ucuenca.edu.ec/resource/author/elizabeth-cabrera,http://ucuenca.edu.ec/wkhuska/publication/the-key-role-of-organizational-culture-in-multi-system-view-of-technology-driven,The key role of organizational culture in a multi-system view of technology-driven change.,"Case Study, New Technology, Organizational Culture, Organizational Performance, Organizational Structure, Technological Innovation"
"Rodríguez Avila, Diana",http://ucuenca.edu.ec/resource/author/diana-rodríguez-avila,http://ucuenca.edu.ec/wkhuska/publication/stress-in-parents-of-very-low-birth-weight-preterm-infants-hospitalized-in-neonatal-intensive-care-multicenter,"Stress in parents of very low birth weight preterm infants hospitalized in neonatal intensive care units. A multicenter study""@e","Neonatal intensive care units, Parents, Psychological stress, Very low birth weight infant"
Manuel Jesús Vélez Criollo,http://ucuenca.edu.ec/resource/author/manuel-jesús-vélez-criollo,http://ucuenca.edu.ec/wkhuska/publication/planning-factors-for-digital-local-broadcasting-in-the-26-mhz,Planning Factors for Digital Local Broadcasting in the 26 MHz Band.,"digital radio mondiale, Field Trial, Ionosphere, Spectrum, System Configuration"
"Conci, Aura",http://ucuenca.edu.ec/resource/author/aura-conci,http://ucuenca.edu.ec/wkhuska/publication/comparing-color-and-texture-based-algorithms-for-human-skin,Comparing Color and Texture-Based Algorithms for Human Skin Detection.,"Color Space, Human Computer Interaction, Human Skin, Pixel Classification, Skin Detection"
"Avila C. , Braulio",http://ucuenca.edu.ec/resource/author/braulio-avila-c,http://ucuenca.edu.ec/wkhuska/publication/encrypted-certified-trust-in-multi-agent,Encrypted certified trust in multi-agent system.,"multiagent system, Multi Agent System, Service Provider, Trust Model"
"Ochoa, Diego",http://ucuenca.edu.ec/resource/author/diego-ochoa,http://ucuenca.edu.ec/wkhuska/publication/changes-in-the-epiphytic-lichen-composition-related-with-air-quality-in-the-city-of-loja,"Changes in the epiphytic lichen composition related with air quality in the city of loja (Ecuador)""@e","Air pollution, Bioindicators, Diversity, Lichens, Loja"
"Morales, Cristina",http://ucuenca.edu.ec/resource/author/cristina-morales,http://ucuenca.edu.ec/wkhuska/publication/eigensnakes-for-vessel-segmentation-in,Eigensnakes for Vessel Segmentation in Angiography.,"Deformable Model, Feature Extraction, Feature Space, Image Features, mahalanobis distance, Pal Component Analysis, Potential Energy, Principal Component Analysis, Statistical Learning, Vessel Segmentation"
"Otero Potosí, Santiago Andrés",http://ucuenca.edu.ec/resource/author/santiago-andrés-otero-potosí,http://ucuenca.edu.ec/wkhuska/publication/development-platform-in-the-design-of-embedded-automotive,Development platform in the design of embedded automotive electronics.,"Automotive Industry, Community Networks, Electronic Control Unit, Real-time Communication"
"Escudero Arciniegas, Javier Omar",http://ucuenca.edu.ec/resource/author/javier-omar-escudero-arciniegas,http://ucuenca.edu.ec/wkhuska/publication/assessment-of-classification-improvement-in-patients-with-disease-based-on-magnetoencephalogram-blind-source,Assessment of classification improvement in patients with Alzheimer's disease based on magnetoencephalogram blind source separation.,"Blind Source Separation, Median Frequency, Signal Extraction"
Daniela Fernanda Rodríguez Mesías,http://ucuenca.edu.ec/resource/author/daniela-fernanda-rodríguez-mesías,http://ucuenca.edu.ec/wkhuska/publication/kernel-density-estimation-on-riemannian-asymptotic,Kernel Density Estimation on Riemannian Manifolds: Asymptotic Results.,"Asymptotic Distribution, Kernel Density Estimate, Nonparametric Estimation, riemannian manifold, Uniform Consistency"
"Guevara Torres, Pamela",http://ucuenca.edu.ec/resource/author/pamela-guevara-torres,http://ucuenca.edu.ec/wkhuska/publication/inference-of-hardi-fiber-bundle-atlas-using-two-level-clustering,Inference of a HARDI Fiber Bundle Atlas Using a Two-Level Clustering Strategy.,White Matter
Jorge Luís Vallejos Guaján,http://ucuenca.edu.ec/resource/author/jorge-luís-vallejos-guaján,http://ucuenca.edu.ec/wkhuska/publication/layered-design-approach-for-context-aware,Layered design approach for context-aware systems.,"context-aware systems, Context Dependent, Context Information, Software Systems"
Diana Elizabeth Pérez Andrade,http://ucuenca.edu.ec/resource/author/diana-elizabeth-pérez-andrade,http://ucuenca.edu.ec/wkhuska/publication/on-the-dynamic-adaptation-of-computer-assisted-assessment-of-free-text,On the Dynamic Adaptation of Computer Assisted Assessment of Free-Text Answers.,"Computer Assisted Assessment, Dynamic Adaptation"
"Feyen, Jan",http://ucuenca.edu.ec/resource/author/jan-feyen,http://ucuenca.edu.ec/wkhuska/publication/rainfall-runoff-modelling-of-rocky-catchment-with-limited-data-defining-prediction,"Rainfall-runoff modelling of a rocky catchment with limited data availability: Defining prediction limits""@e","GLUE, Likelihood, MIKE SHE, Monte Carlo simulations, Subflow, Uncertainty"
Carlos Danilo Concha Quisnancela,http://ucuenca.edu.ec/resource/author/carlos-danilo-concha-quisnancela,http://ucuenca.edu.ec/wkhuska/publication/multiresolution-fuzzy-rule,Multiresolution Fuzzy Rule Systems.,"Fuzzy Rules, Learning Algorithm, multiresolution analysis, Semantic Interpretation"
"Vargas Páez, Andrea Pastora",http://ucuenca.edu.ec/resource/author/andrea-pastora-vargas-páez,http://ucuenca.edu.ec/wkhuska/publication/robust-quantitative-scratch,Robust quantitative scratch assay.,"Cell Migration, Cost Effectiveness, Endothelial Progenitor Cell, Extracellular Matrix, High Throughput, High Throughput Screening, Kinase Inhibitor, Mechanism of Action, Structure Activity Relationship"
"Abad Ordoñez, Javier Sebastián",http://ucuenca.edu.ec/resource/author/javier-sebastián-abad-ordoñez,http://ucuenca.edu.ec/wkhuska/publication/bayesian-image-restoration-in-application-to-images-of-the-recent-collision-of-comet-shoemaker-levy-with,Bayesian image restoration in astronomy: Application to images of the recent collision of comet shoemaker-levy 9 with jupiter.,"Classical Conditioning, Image Restoration"
"Abad, Cristina",http://ucuenca.edu.ec/resource/author/cristina-abad,http://ucuenca.edu.ec/wkhuska/publication/security-data-management-system-for-correlating-and-raw-data-from-remote-logs,"UCLog+ : A Security Data Management System for Correlating Alerts, Incidents, and Raw Data From Remote Logs","Computer Network Security, Data Management, Data Management System, Information Sharing, Near Real Time, Open Source, Situation Awareness"
"Roldán Ribadeneira, Pablo Andrés",http://ucuenca.edu.ec/resource/author/pablo-andrés-roldán-ribadeneira,http://ucuenca.edu.ec/wkhuska/publication/existence-of-center-manifold-in-practical-domain-around-l1-in-the-restricted-three-body,Existence of a Center Manifold in a Practical Domain around L1 in the Restricted Three-Body Problem.,"Center Manifold, Dynamic System, Normal Form, Restricted Three Body Problem"
"Maldonado Gómez, Marcos Raúl",http://ucuenca.edu.ec/resource/author/marcos-raúl-maldonado-gómez,http://ucuenca.edu.ec/wkhuska/publication/takagi-sugeno-fuzzy-scheme-for-real-time-trajectory-tracking-of-an-underactuated,Takagi-Sugeno fuzzy scheme for real-time trajectory tracking of an underactuated robot.,"Fuzzy Control, Indexing Terms, Nonlinear System, Real Time, Real Time Application, takagi sugeno, Trajectory Tracking"
Andrea Elizabeth Chavez Tenesaca,http://ucuenca.edu.ec/resource/author/andrea-elizabeth-chavez-tenesaca,http://ucuenca.edu.ec/wkhuska/publication/software-component,Software Component Licensing: A Primer.,Software Component
Guillermo Jeovany Heredia Gaibor,http://ucuenca.edu.ec/resource/author/guillermo-jeovany-heredia-gaibor,http://ucuenca.edu.ec/wkhuska/publication/high-speed-autonomous-navigation-system-for-heavy,High-speed autonomous navigation system for heavy vehicles.,"Autonomous Vehicle, Dead Reckoning, High Speed, Intelligent Transport System, kalman filter, Parameter Estimation, State Feedback Control"
Álvaro Giovany Carrera Acero,http://ucuenca.edu.ec/resource/author/álvaro-giovany-carrera-acero,http://ucuenca.edu.ec/wkhuska/publication/multi-agent-architecture-for-heterogeneous-reasoning-under-uncertainty-combining-msbn-and-ontologies-in-distributed-network,Multi-agent Architecture for Heterogeneous Reasoning under Uncertainty Combining MSBN and Ontologies in Distributed Network Diagnosis.,"Autonomous Agent, bayesian method, Distributed Networks, multi-agent architecture, Multimedia Communication, Reasoning Under Uncertainty, Streaming Media"
"Guerrero Obando, Fernando Fabián",http://ucuenca.edu.ec/resource/author/fernando-fabián-guerrero-obando,http://ucuenca.edu.ec/wkhuska/publication/genetic-algorithm-for-solving-production-and-delivery-scheduling-problem-with-time,A Genetic Algorithm for Solving a Production and Delivery Scheduling Problem with Time Windows.,"Genetic Algorithm, Scheduling Problem, tabu search, Time Window"
"Acosta López, Oscar Alejandro",http://ucuenca.edu.ec/resource/author/oscar-alejandro-acosta-lópez,http://ucuenca.edu.ec/wkhuska/publication/echtzeit-ultraschallsimulation-auf-grafik-prozessoren-mit,Echtzeit-Ultraschallsimulation auf Grafik-Prozessoren mit CUDA.,"Compute Unified Device Architecture, Graphic Processing Unit"
Diana Jackeline Santos Delgado,http://ucuenca.edu.ec/resource/author/diana-jackeline-santos-delgado,http://ucuenca.edu.ec/wkhuska/publication/the-web-based-environment-for-corpora,The Corpógrafo - a Web-based Environment for Corpora Research.,"Corpus Linguistic, Knowledge Engineering"
"Serrano Delgado, Clara Yamilet",http://ucuenca.edu.ec/resource/author/clara-yamilet-serrano-delgado,http://ucuenca.edu.ec/wkhuska/publication/active-antenna-efficient-mobile-broadband,Active Antenna - Efficient Mobile Broadband Networks.,"Antenna Array, Broadband Network, Mobile Communication, Mobile Computer, Radio Access Network"
Eduardo Gustavo Valarezo Armijos,http://ucuenca.edu.ec/resource/author/eduardo-gustavo-valarezo-armijos,http://ucuenca.edu.ec/wkhuska/publication/enhanced-in-vitro-antitumor-activity-of-titanocene-complex-encapsulated-into-polycaprolactone-electrospun,"Enhanced in vitro antitumor activity of a titanocene complex encapsulated into Polycaprolactone (PCL) electrospun fibers""@e","Antitumor release, In vitro antitumor activity, PCL electrospun fibers, Titanocene complex"
"Franco Bonoso, Leonardo Bladimir",http://ucuenca.edu.ec/resource/author/leonardo-bladimir-franco-bonoso,http://ucuenca.edu.ec/wkhuska/publication/neural-network-architecture-size-depends-on-function,Neural Network Architecture Selection: Size Depends on Function Complexity.,"Association Rule, Boolean Function, Neural Network, Neural Net Work, Random Generation"
"Acosta López, Oscar Alejandro",http://ucuenca.edu.ec/resource/author/oscar-alejandro-acosta-lópez,http://ucuenca.edu.ec/wkhuska/publication/mr-less-high-dimensional-spatial-normalization-of-11c-pib-pet-images-on-population-of-mild-cognitive-impaired-and-alzheimer-disease,"MR-Less High Dimensional Spatial Normalization of 11C PiB PET Images on a Population of Elderly, Mild Cognitive Impaired and Alzheimer Disease Patients.","Alzheimer Disease, Free Form Deformation, Gray Matter, High Dimensionality, Low Resolution, Magnetic Resonance Image, Mild Cognitive Impairment, Model Selection, Non-rigid Registration, Pet Imaging, Space Use"
"Martínez C. , Silvia",http://ucuenca.edu.ec/resource/author/silvia-martínez-c,http://ucuenca.edu.ec/wkhuska/publication/identification-of-semantic-focal-groups-for-tourist-packages-based-on-the-semantic-orientation-of,"Identification of semantic focal groups for tourist packages based on the semantic orientation of opinions""@e","Emotions, Ontologies, Opinion, Polarity, Sentiments, Tourism, Tourism package"
"Padilla Yunda, Gabriel Fernando",http://ucuenca.edu.ec/resource/author/gabriel-fernando-padilla-yunda,http://ucuenca.edu.ec/wkhuska/publication/metabolic-flux-analysis-for-directing-metabolism-of-streptomyces-olindensis-from-growth-to-anti-tumor-drug,Metabolic flux analysis for directing metabolism of Streptomyces olindensis from growth to anti-tumor drug (cosmomycin) production.,Metabolic Flux Analysis
Diana Elizabeth Pérez Andrade,http://ucuenca.edu.ec/resource/author/diana-elizabeth-pérez-andrade,http://ucuenca.edu.ec/wkhuska/publication/automatically-generated-inspectable-learning-models-for,Automatically Generated Inspectable Learning Models for Students.,"Automatic Generation, Learning Model"
"Villavicencio, Fernando",http://ucuenca.edu.ec/resource/author/fernando-villavicencio,http://ucuenca.edu.ec/wkhuska/publication/improving-lpc-spectral-envelope-extraction-of-voiced-speech-by-true-envelope,Improving Lpc Spectral Envelope Extraction Of Voiced Speech By True-Envelope Estimation.,"Spectrum, Systematic Error"
Juan Melchor Segarra Rojas,http://ucuenca.edu.ec/resource/author/juan-melchor-segarra-rojas,http://ucuenca.edu.ec/wkhuska/publication/small-and-effective-data-cache-for-real-time-multitasking,A Small and Effective Data Cache for Real-Time Multitasking Systems.,"Data Cache, Data Reuse, Data Structure, Memory Management, Real Time, Real Time Systems"
Diana Jackeline Santos Delgado,http://ucuenca.edu.ec/resource/author/diana-jackeline-santos-delgado,http://ucuenca.edu.ec/wkhuska/publication/portuguese-english-word-some,Portuguese-English Word Alignment: some Experiments.,Word Alignment
"Garcia-Gabin, Winston",http://ucuenca.edu.ec/resource/author/winston-garcia-gabin,http://ucuenca.edu.ec/wkhuska/publication/robust-sliding-mode-controller-with-internal-model-for-closed-loop-artificial,A robust sliding mode controller with internal model for closed-loop artificial pancreas.,"Artificial Pancreas, Blood Glucose, Control Strategy, diabetes mellitus, Insulin Sensitive, Internal Model, Internal Model Control, Measurement Error, Simulation Study, Sliding Mode, Sliding Mode Controller, type 1 diabetes"
Nelson Piedra,http://ucuenca.edu.ec/resource/author/nelson-piedra,http://ucuenca.edu.ec/wkhuska/publication/recommendation-of-oers-shared-in-social-media-based-on-social-networks-analysis,"Recommendation of OERs shared in social media based-on social networks analysis approach""@e","Discovery, Metrics, OER, Recommender, SNA, Twitter, URLs"
"Camacho Vélez, Arturo",http://ucuenca.edu.ec/resource/author/arturo-camacho-vélez,http://ucuenca.edu.ec/wkhuska/publication/pitch-estimation-algorithm-based-on-the-smooth-harmonic-average-peak-to-valley,A Pitch Estimation Algorithm Based on the Smooth Harmonic Average Peak-to-Valley Envelope.,"Estimation Algorithm, Human Perception, Integral Transforms, Spectrum"
"Cabrera Montero, Santiago",http://ucuenca.edu.ec/resource/author/santiago-cabrera-montero,http://ucuenca.edu.ec/wkhuska/publication/nonlinear-analysis-and-structure-optimization-of-dar-impatt,Nonlinear Analysis and Structure Optimization of a DAR IMPATT Diode.,"Nonlinear Analysis, Nonlinear Model, Structure Optimization"
DOMINGUEZ GAVILANES EDWIN XAVIER,http://ucuenca.edu.ec/resource/author/edwin-xavier-dominguez-gavilanes,http://ucuenca.edu.ec/wkhuska/publication/computer-tool-for-assessing-the-selection-of-distributed-generation-systems-in,"Computer tool for assessing the selection of distributed generation systems in NZEB""@e","Building Automation System (BAS), Building Energy Management System (BEMS), Energy Management System (EMS), Nearly Zero-Energy Buildings (nZEBs)"
"Cabrera Atiencia, Mariana",http://ucuenca.edu.ec/resource/author/mariana-cabrera-atiencia,http://ucuenca.edu.ec/wkhuska/publication/comparing-bayesian-inference-and-case-based-reasoning-as-support-techniques-in-the-diagnosis-of-acute-bacterial,Comparing Bayesian inference and case-based reasoning as support techniques in the diagnosis of Acute Bacterial Meningitis.,"Bacterial Meningitis, bayesian inference, Case Base Reasoning, Clinical Decision Support System, Expert System, Infectious Disease, System Development, System Performance"
"Andrade Cárdenas, Víctor Adrián",http://ucuenca.edu.ec/resource/author/víctor-adrián-andrade-cárdenas,http://ucuenca.edu.ec/wkhuska/publication/super-persistent-chaotic-transients-in-physical-effect-of-noise-on-phase-synchronization-of-coupled-chaotic,Super Persistent Chaotic Transients in Physical Systems: Effect of noise on phase Synchronization of Coupled Chaotic oscillators.,"Oscillations, Phase Synchronization"
"García Valdez, Isabel Susana",http://ucuenca.edu.ec/resource/author/isabel-susana-garcía-valdez,http://ucuenca.edu.ec/wkhuska/publication/lymphatic-blood-vessel-invasion-in-gastric-relationship-with-clinicopathological-biological-factors-and-prognostic,"Lymphatic and/or blood vessel invasion in gastric cancer: Relationship with clinicopathological parameters, biological factors and prognostic significance""@e","Gastric cancer, Prognosis, Tumoral invasion"
"Amaya Pinos, Jorge Braulio",http://ucuenca.edu.ec/resource/author/jorge-braulio-amaya-pinos,http://ucuenca.edu.ec/wkhuska/publication/robust-planning-for-an-open-pit-mining-problem-under-ore-grade,Robust Planning for an Open-Pit Mining Problem under Ore-Grade Uncertainty.,"Capacity Constraint, Conditional Value at Risk, Optimization Under Uncertainty, Production Planning, Risk Aversion, Robust Optimization, Value at Risk"
Luis Fabián Martínez López,http://ucuenca.edu.ec/resource/author/luis-fabián-martínez-lópez,http://ucuenca.edu.ec/wkhuska/publication/georeferenced-hybrid-recommender-system-for,REJA: A Georeferenced Hybrid Recommender System for Restaurants.,"Business Process, E Commerce, Google Map, Hybrid System, Knowledge Base, recommender system, web-based applications"
Olga Susana Duran Villarroel,http://ucuenca.edu.ec/resource/author/olga-susana-duran-villarroel,http://ucuenca.edu.ec/wkhuska/publication/sensor-for-pipe-analysis-and-image,"A sensor for pipe inspection: model, analysis and image extraction.","Defect Detection, Experimental Data, Industrial Application, Light Intensity, Model Analysis"
"Bravo, Felipe",http://ucuenca.edu.ec/resource/author/felipe-bravo,http://ucuenca.edu.ec/wkhuska/publication/meta-search-engine-for-document-similarity,DOCODE-Lite: A Meta-Search Engine for Document Similarity Retrieval.,"Document Similarity, meta search engine, Plagiarism Detection"
José Luis Neira Izquierdo,http://ucuenca.edu.ec/resource/author/josé-luis-neira-izquierdo,http://ucuenca.edu.ec/wkhuska/publication/multisensor-fusion-for-simultaneous-localization-and-map,Multisensor fusion for simultaneous localization and map building.,"Charged Couple Device, Laser Rangefinder, Mobile Robot, Simultaneous Localization and Map Building"
"Jaramillo Reinoso, Santiago José",http://ucuenca.edu.ec/resource/author/santiago-josé-jaramillo-reinoso,http://ucuenca.edu.ec/wkhuska/publication/normative-model-of-receptive-field,A normative model of attention: receptive field modulation.,"backpropagation, Generic Model, Neural Code, Receptive Field, Top Down, Visual Attention"
"Arias Parra, Mónica Alexandra",http://ucuenca.edu.ec/resource/author/mónica-alexandra-arias-parra,http://ucuenca.edu.ec/wkhuska/publication/multifractal-simulation-model-for-the-distribution-of-vms-deposits-in-the-spanish-segment-of-the-iberian-pyrite,A multifractal simulation model for the distribution of VMS deposits in the Spanish segment of the Iberian Pyrite Belt.,"Method Integration, multifractal analysis, Multiple Scales, Simulation Model, Spatial Distribution, Spectrum, Weight of Evidence"
Jorge Luis Rojas Vivanco,http://ucuenca.edu.ec/resource/author/jorge-luis-rojas-vivanco,http://ucuenca.edu.ec/wkhuska/publication/changes-in-ghrelin-concentrations-one-year-after-resective-and-non-resective-gastric-associations-with-weight-loss-and-energy-and-macronutrient,"Changes in ghrelin concentrations one year after resective and non-resective gastric bypass: Associations with weight loss and energy and macronutrient intakes""@e","Food intake, Gastric bypass, Ghrelin, Weight loss"
"Neira Carrión, Jose",http://ucuenca.edu.ec/resource/author/jose-neira-carrión,http://ucuenca.edu.ec/wkhuska/publication/robust-mapping-and-localization-in-indoor-environments-using-sonar,Robust Mapping and Localization in Indoor Environments Using Sonar Data.,"Data Association, Hough Transform, Indoor Environment, Map Building, Perceptual Grouping"
"Chaput, Emmanuel",http://ucuenca.edu.ec/resource/author/emmanuel-chaput,http://ucuenca.edu.ec/wkhuska/publication/comparison-of-csma-and-tdma-for-heartbeat-vanet,Comparison of CSMA and TDMA for a Heartbeat VANET Application.,"Carrier Sense Multiple Access, Mac Protocol, Medium Access Control, Time Division Multiple Access, Transport System, Vehicular Ad Hoc Network, Wireless Communication"
"Feyen, Jan",http://ucuenca.edu.ec/resource/author/jan-feyen,http://ucuenca.edu.ec/wkhuska/publication/site-specific-land-and-water-management-model-in-mike,"A site-specific land and water management model in MIKE SHE""@e","Distributed modelling, Grote Nete, MIKE SHE, Site-specific model"
Gabriel Garzón Carrera,http://ucuenca.edu.ec/resource/author/gabriel-garzón-carrera,http://ucuenca.edu.ec/wkhuska/publication/weak-efficiency-in-multiobjective-variational-problems-under-generalized,Weak efficiency in multiobjective variational problems under generalized convexity.,"Generalized Convexity, Mathematical Programming, Optimal Solution, Variational Problem"
